force,strain
10.4522715,76.67699999999999
10.4522715,71.86000000000001
10.4522715,33.734
10.4522715,29.099
10.4522715,24.511999999999997
10.4522715,3.2270000000000003
10.4522715,2.454
10.4522715,1.793
10.4522715,174.445
10.4522715,169.967
10.4522715,165.104
10.4522715,129.612
10.4522715,124.809
10.4522715,119.997
10.4522715,81.396
10.4522715,76.574
10.4522715,71.75699999999999
10.4522715,33.975
10.4522715,29.543000000000003
10.4522715,25.295
10.4522715,3.504
10.4522715,2.395
10.4522715,1.745
10.4522715,176.364
10.4522715,172.311
10.4522715,166.584
10.4522715,129.71200000000002
10.4522715,124.9
10.4522715,120.081
10.4522715,81.482
10.4522715,76.66
10.4522715,71.842
10.4522715,33.704
10.4522715,29.067
10.4522715,24.479
10.4522715,3.167
10.4522715,2.42
10.4522715,1.774
10.471914,176.704
10.471914,172.647
10.471914,166.90699999999998
10.471914,129.966
10.471914,125.14500000000001
10.471914,120.318
10.471914,81.651
10.471914,76.822
10.471914,71.995
10.471914,33.797999999999995
10.471914,29.155
10.471914,24.562
10.471914,3.2720000000000002
10.471914,2.4770000000000003
10.471914,1.8050000000000002
10.471914,174.77200000000002
10.471914,170.286
10.471914,165.41400000000002
10.471914,129.856
10.471914,125.044
10.471914,120.22200000000001
10.471914,81.549
10.471914,76.718
10.471914,71.891
10.471914,34.04
10.471914,29.606
10.471914,25.339
10.471914,3.496
10.471914,2.448
10.471914,1.7489999999999999
10.471914,176.695
10.471914,172.635
10.471914,166.898
10.471914,129.956
10.471914,125.134
10.471914,120.307
10.471914,81.635
10.471914,76.804
10.471914,71.977
10.471914,33.766999999999996
10.471914,29.122999999999998
10.471914,24.529
10.471914,3.209
10.471914,2.443
10.471914,1.7850000000000001
10.471914,176.704
10.471914,172.647
10.471914,166.90699999999998
10.471914,129.966
10.471914,125.14500000000001
10.471914,120.318
10.471914,81.651
10.471914,76.822
10.471914,71.995
10.471914,33.797999999999995
10.471914,29.153
10.471914,24.558
10.471914,3.234
10.471914,2.458
10.471914,1.796
10.471914,174.77200000000002
10.471914,170.286
10.471914,165.41400000000002
10.471914,129.856
10.471914,125.044
10.471914,120.22200000000001
10.471914,81.549
10.471914,76.718
10.471914,71.892
10.471914,34.038000000000004
10.471914,29.599
10.471914,25.342
10.471914,3.51
10.471914,2.399
10.471914,1.748
10.471914,176.695
10.471914,172.635
10.471914,166.897
10.471914,129.956
10.471914,125.134
10.471914,120.307
10.471914,81.635
10.471914,76.804
10.471914,71.977
10.471914,33.766999999999996
10.471914,29.121000000000002
10.471914,24.525
10.471914,3.1719999999999997
10.471914,2.424
10.471914,1.7770000000000001
10.4875866,176.969
10.4875866,172.905
10.4875866,167.157
